cluster,feature,mean_cluster,mean_rest,difference,t_stat,p_value,p_adj
0,TOTAL_STAKED,237.11198559670783,1033.250744575937,-796.1387589792291,-1.7992538214377458,0.07200493721006045,0.08252159349887035
0,LP_DEPOSIT_COUNT,12.42962962962963,4.875936883629191,7.553692746000439,3.282379672504361,0.0010338287097385753,0.0017139791766718486
0,LP_POOL_COUNT,5.766666666666667,1.7714990138067062,3.9951676528599602,19.040642290698766,1.7204520194883124e-79,9.853497929796699e-79
0,LP_PLATFORM_COUNT,2.3549382716049383,0.3296844181459566,2.025253853458982,70.51461089851499,0.0,0.0
0,LENDING_DEPOSIT_VOLUME,14.057946502057613,6978.794785009863,-6964.736838507805,-3.1924559955977414,0.0014149913621433635,0.0022213703878913517
0,LENDING_DEPOSIT_TX_COUNT,0.06460905349794238,0.7007889546351085,-0.636179901137166,-5.464149240569573,4.760879835882527e-08,1.15359780638692e-07
0,BORROW_VOLUME,0.0,4407.094845167653,-4407.094845167653,-1.7910518372080082,0.07331479497031997,0.08252159349887035
0,BORROW_TX_COUNT,0.0,0.20591715976331362,-0.20591715976331362,-9.681553205615948,4.500145553673381e-22,1.7719323117588937e-21
0,TOTAL_STABLECOIN_SWAPPED_OUT,9046.107320987652,6570.877100591716,2475.230220395936,0.34830938553494095,0.7276200615328187,0.7514764569929111
0,NFT_TX_COUNT,0.34382716049382717,0.06094674556213018,0.28288041493169697,2.483243464325017,0.013049351360887034,0.017491683739061344
0,NFT_PURCHASE_VOLUME,11.681210423678397,3.562997780209664,8.118212643468734,3.4452056770596835,0.000574064657892069,0.0010046131513111209
0,TOTAL_MINTS,13.130041152263374,9.910848126232741,3.2191930260306325,0.7671464605262969,0.44301288015462525,0.46516352416235657
0,DISTINCT_NFT_COLLECTIONS,0.339917695473251,0.1502958579881657,0.18962183748508532,4.8738075515359345,1.1103058203736156e-06,2.59071358087177e-06
0,STABLECOIN_SENT_VOLUME,29892.75349176955,131368.49312327418,-101475.73963150464,-1.6219811881110686,0.10483612106783574,0.1138737177116147
0,UNIQUE_TOKENS,3.5242798353909466,2.4537475345167654,1.0705323008741812,21.68900641742813,1.6668972802416174e-101,1.1668280961691322e-100
0,TX_PER_WEEK,44.647143234773665,35.90388423550296,8.743258999270708,3.818337337107353,0.00013549928656412104,0.00027536951785611696
0,AVG_TX_VALUE,1666.2215750873027,3182.7995203167816,-1516.577945229479,-2.9110739133702217,0.0036079839333324946,0.005165976995453345
0,TOTAL_SENT_TO_CONTRACTS,56344.41896488176,52053.98108830258,4290.437876579184,0.13260900969099035,0.8945064792769621,0.908934003136268
0,TOTAL_DISTINCT_CONTRACTS,89.06296296296296,17.677613412228798,71.38534955073416,2.3527792087412713,0.018672876475007386,0.02434600454707286
0,DAYS_ACTIVE,7.665226337448559,4.5074950690335305,3.157731268415029,14.181237566889994,4.9657170080229456e-45,2.406462857734197e-44
0,AGE_IN_WEEKS,52.45349794238683,29.955029585798815,22.498468356588017,22.93242686495212,1.8883556178213888e-112,1.4870800490343437e-111
1,TOTAL_STAKED,96.16954077680646,1804.535076303874,-1708.3655355270675,-2.3474161003964777,0.018935781314390002,0.02434600454707286
1,LP_DEPOSIT_COUNT,0.0014385304857806795,18.419755156800267,-18.418316626314486,-7.3852383883735335,1.7304790532399231e-13,5.451009017705758e-13
1,LP_POOL_COUNT,0.0022131238242779684,7.709039074291464,-7.706825950467186,-31.253988145873237,1.0277279051740088e-198,1.618671450649064e-197
1,LP_PLATFORM_COUNT,0.00210246763306407,2.4767734361898373,-2.474670968556773,-94.58889399161835,0.0,0.0
1,LENDING_DEPOSIT_VOLUME,38.761186234369816,11820.059684722457,-11781.298498488088,-3.1767479586567666,0.0014969619740233201,0.00224544296103498
1,LENDING_DEPOSIT_TX_COUNT,0.011729556268673232,1.2265638101626697,-1.2148342538939965,-6.150280569738061,8.236435999009028e-10,2.3586157633525854e-09
1,BORROW_VOLUME,0.40165873630629634,7493.595830957573,-7493.194172221266,-1.7909468994936555,0.07335252755455142,0.08252159349887035
1,BORROW_TX_COUNT,0.00044262476485559365,0.3494885124937112,-0.34904588772885564,-9.68177797152981,5.22985443761837e-22,1.854493831753763e-21
1,TOTAL_STABLECOIN_SWAPPED_OUT,3.794343255505145,18540.748935099786,-18536.954591844282,-2.7600126520022914,0.005797570332349011,0.008116598465288616
1,NFT_TX_COUNT,0.004426247648555937,0.3771591480798256,-0.37273290043126966,-3.7069119343281884,0.00021170480249266816,0.0004041637138496392
1,NFT_PURCHASE_VOLUME,0.2940959656965807,15.133613098843368,-14.839517133146787,-6.224486680066392,5.159607091480385e-10,1.5478821274441155e-09
1,TOTAL_MINTS,0.045369038397698354,27.485829280563475,-27.440460242165777,-5.508703074750188,3.7661178630535825e-08,9.490617014895028e-08
1,DISTINCT_NFT_COLLECTIONS,0.028327984950757994,0.48968639946335735,-0.46135841451259935,-9.680298626682827,5.298553805010752e-22,1.854493831753763e-21
1,STABLECOIN_SENT_VOLUME,100155.82683633952,95966.30808653361,4189.5187498059095,0.05827216955557086,0.9535328353496915,0.9535328353496915
1,UNIQUE_TOKENS,2.015270554387518,3.9907764548046285,-1.9755059004171107,-40.35172288026475,0.0,0.0
1,TX_PER_WEEK,33.96104656711298,45.974262022807316,-12.013215455694336,-5.75942624602875,8.707033592853934e-09,2.285596318124158e-08
1,AVG_TX_VALUE,2932.3025684135914,2326.3802918300903,605.9222765835011,1.1282330271220904,0.2592401924446183,0.2768157987120501
