ADDRESS,TOTAL_STAKED,LP_DEPOSIT_VOLUME,LP_DEPOSIT_COUNT,LP_POOL_COUNT,LP_PLATFORM_COUNT,LENDING_DEPOSIT_VOLUME,LENDING_DEPOSIT_TX_COUNT,BORROW_VOLUME,BORROW_TX_COUNT,TOTAL_STABLECOIN_SWAPPED_OUT,NFT_TX_COUNT,NFT_PURCHASE_VOLUME,DISTINCT_NFT_MARKETS,TOTAL_MINTS,DISTINCT_NFT_COLLECTIONS,STABLECOIN_SENT_VOLUME,UNIQUE_TOKENS,TX_PER_WEEK,AVG_TX_VALUE,TOTAL_SENT_TO_CONTRACTS,TOTAL_DISTINCT_CONTRACTS,DAYS_ACTIVE,TENURE_IN_WEEKS,DAYS_SINCE_LAST_SEEN,GOVERNANCE_VOTE_COUNT
0x038e42b50464a9cde7a5b610a424dc2292236caa,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,1599.19,2,21,1066.126666667,0,1,1,10,69,"null"
0x0c0068be98c389ef6cff6440698408176787f6ba,0,538.347772281,3,3,1,"null","null","null","null",232.95,0,0,0,0,0,232.95,2,63,104.246666667,465.32,4,1,13,80,"null"
0x0af8693d06a48e2e528900ef4f8a2461811a84ec,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,2999.84,2,35,1199.946,0,2,1,1,6,"null"
0x0c076b2407b61c51b2fd61c8d7b3697de5c6d1c9,0,220.654907145,1,1,1,"null","null","null","null",0,0,0,0,0,0,0,2,24.888889,115.4428125,1854.85,10,9,13,83,"null"
0x00d572ba2ea48e016e3a13cc2f73a8eef1ffee1e,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,16.86,2,14,8.43,0,1,1,8,57,"null"
0x0dba8a20d7d99b5866a21d97fdb21ab732811408,201.27,132.520347143,3,3,2,64.2,3,"null","null","null",0,0,0,151,2,88.14,7,40.384615,17.389066667,351.44,35,13,12,1,"null"
0x039412809c5bb18d88e09977d6f969a19694b860,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,300.06,1,14,300.06,0,1,1,8,58,"null"
0x04df7c4b113b7b2f6138d782afce583cbf31dcc7,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,15.62,2,14,7.8325,0,1,2,5,36,"null"
0x0923e40185a8f30ace35edd12adf6faf0e44a386,0,31.799694105,2,1,1,"null","null","null","null",0,0,0,0,0,0,0,2,42,23.346666667,31.8,3,1,9,63,"null"
0x0428fdc1f59747b811eb3834344e065c216241c8,0,3912.494042773,2,2,2,735.67,1,"null","null",0,0,0,0,0,0,1612.98,3,18.666667,1125.49,4641.79,4,3,4,23,"null"
0x0c3dd26eda12a33fcc931fff6a86e46380da65e0,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,49.76,2,21,33.186666667,0,1,1,8,54,"null"
0x0cc90083d73bc423724f1a71b5ce42e826291f23,0,"null","null","null","null",19.71,1,20,1,"null",0,0,0,0,0,24.22,3,35,26.28,30.27,2,1,11,75,"null"
0x07b6ba71e0e5481258451831c65fba876ea0427f,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,0,2,182,15.762692308,172.76,15,1,3,20,"null"
0x04dad2a7c7aa491e8c4ccec2b9e2d3dd994a8359,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,0,2,252,17.054444444,247.24,18,1,3,22,"null"
0x02fa4d22a7442f4479bfb7d6a559d3cbc403e12a,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,0,2,182,74.850769231,1104.49,15,1,8,54,"null"
0x05cddf01d872415effc906081f750664a53d6fff,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,125.59,2,42,42.186666667,0,3,1,8,54,"null"
0x0c7aa4338f307a2056998b25398c7677c60eee67,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,0,2,21,121.773333333,0,1,1,10,74,"null"
0x08e1e54cad77220753140e5ef8d42b80035f46ea,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,1002.22,1,14,1002.33,0,1,1,"null","null","null"
0x05d9fc4472092b4dac21523abbba6f1ada6a532a,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,65.81,2,41,1.605243902,0,30,14,7,2,"null"
0x048f3646705d529b280e315cbcc74dff135a99a9,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,3999.8,2,21,2666.556666667,0,1,1,0,4,"null"
0x0d0ad6ac692a41a62a83c5dd77bd243851e3e028,0,43.151043836,2,1,1,"null","null","null","null",0,0,0,0,0,0,0,2,42,45.43,43.15,3,1,9,61,"null"
0x0139ad86c5174921a80a27c11bb7b5684573e20f,0,"null","null","null","null","null","null","null","null","null",0,0,0,0,0,124.77,2,14,62.41,0,1,1,7,53,"null"
0x01f305cfdec349fa11dc4246fe02e961a8aa20fb,0,92.717250815,4,1,1,"null","null","null","null",0,0,0,0,0,0,0,2,77,29.564545455,92.71,6,1,2,15,"null"
